,time,value
0,00-00-00,2
1,00-30-00,1
2,01-00-00,3
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,2
9,04-30-00,0
10,05-00-00,2
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,5
15,07-30-00,12
16,08-00-00,11
17,08-30-00,10
18,09-00-00,4
19,09-30-00,4
20,10-00-00,0
21,10-30-00,5
22,11-00-00,2
23,11-30-00,11
24,12-00-00,8
25,12-30-00,1
26,13-00-00,2
27,13-30-00,4
28,14-00-00,2
29,14-30-00,1
30,15-00-00,0
31,15-30-00,1
32,16-00-00,5
33,16-30-00,3
34,17-00-00,1
35,17-30-00,6
36,18-00-00,3
37,18-30-00,4
38,19-00-00,3
39,19-30-00,10
40,20-00-00,4
41,20-30-00,2
42,21-00-00,12
43,21-30-00,4
44,22-00-00,8
45,22-30-00,20
46,23-00-00,7
47,23-30-00,11
