,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,1
6,03-00-00,0
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,3
13,06-30-00,2
14,07-00-00,29
15,07-30-00,54
16,08-00-00,27
17,08-30-00,19
18,09-00-00,16
19,09-30-00,34
20,10-00-00,17
21,10-30-00,12
22,11-00-00,17
23,11-30-00,17
24,12-00-00,4
25,12-30-00,0
26,13-00-00,4
27,13-30-00,9
28,14-00-00,0
29,14-30-00,7
30,15-00-00,5
31,15-30-00,32
32,16-00-00,25
33,16-30-00,46
34,17-00-00,85
35,17-30-00,51
36,18-00-00,80
37,18-30-00,54
38,19-00-00,36
39,19-30-00,54
40,20-00-00,31
41,20-30-00,40
42,21-00-00,82
43,21-30-00,39
44,22-00-00,83
45,22-30-00,62
46,23-00-00,35
47,23-30-00,5
