,time,value
0,00-00-00,1
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,0
15,07-30-00,4
16,08-00-00,16
17,08-30-00,23
18,09-00-00,4
19,09-30-00,9
20,10-00-00,7
21,10-30-00,4
22,11-00-00,40
23,11-30-00,24
24,12-00-00,19
25,12-30-00,18
26,13-00-00,14
27,13-30-00,11
28,14-00-00,6
29,14-30-00,11
30,15-00-00,30
31,15-30-00,56
32,16-00-00,16
33,16-30-00,12
34,17-00-00,43
35,17-30-00,21
36,18-00-00,17
37,18-30-00,29
38,19-00-00,9
39,19-30-00,8
40,20-00-00,15
41,20-30-00,9
42,21-00-00,15
43,21-30-00,17
44,22-00-00,14
45,22-30-00,18
46,23-00-00,7
47,23-30-00,7
