,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,0
13,06-30-00,1
14,07-00-00,2
15,07-30-00,7
16,08-00-00,10
17,08-30-00,15
18,09-00-00,8
19,09-30-00,4
20,10-00-00,3
21,10-30-00,13
22,11-00-00,6
23,11-30-00,13
24,12-00-00,19
25,12-30-00,23
26,13-00-00,6
27,13-30-00,7
28,14-00-00,3
29,14-30-00,7
30,15-00-00,9
31,15-30-00,8
32,16-00-00,15
33,16-30-00,4
34,17-00-00,18
35,17-30-00,45
36,18-00-00,49
37,18-30-00,25
38,19-00-00,10
39,19-30-00,4
40,20-00-00,6
41,20-30-00,2
42,21-00-00,6
43,21-30-00,1
44,22-00-00,2
45,22-30-00,1
46,23-00-00,0
47,23-30-00,0
