,time,value
0,00-00-00,0
1,00-30-00,2
2,01-00-00,0
3,01-30-00,0
4,02-00-00,2
5,02-30-00,0
6,03-00-00,0
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,0
15,07-30-00,0
16,08-00-00,0
17,08-30-00,1
18,09-00-00,0
19,09-30-00,1
20,10-00-00,7
21,10-30-00,1
22,11-00-00,2
23,11-30-00,5
24,12-00-00,5
25,12-30-00,4
26,13-00-00,1
27,13-30-00,5
28,14-00-00,1
29,14-30-00,4
30,15-00-00,3
31,15-30-00,2
32,16-00-00,3
33,16-30-00,6
34,17-00-00,4
35,17-30-00,12
36,18-00-00,17
37,18-30-00,12
38,19-00-00,11
39,19-30-00,4
40,20-00-00,8
41,20-30-00,2
42,21-00-00,6
43,21-30-00,4
44,22-00-00,3
45,22-30-00,4
46,23-00-00,4
47,23-30-00,5
