,time,value
0,00-00-00,6
1,00-30-00,0
2,01-00-00,3
3,01-30-00,2
4,02-00-00,2
5,02-30-00,1
6,03-00-00,0
7,03-30-00,3
8,04-00-00,2
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,1
15,07-30-00,2
16,08-00-00,1
17,08-30-00,5
18,09-00-00,9
19,09-30-00,11
20,10-00-00,18
21,10-30-00,11
22,11-00-00,7
23,11-30-00,13
24,12-00-00,14
25,12-30-00,22
26,13-00-00,15
27,13-30-00,18
28,14-00-00,6
29,14-30-00,10
30,15-00-00,10
31,15-30-00,10
32,16-00-00,16
33,16-30-00,8
34,17-00-00,20
35,17-30-00,9
36,18-00-00,24
37,18-30-00,23
38,19-00-00,14
39,19-30-00,17
40,20-00-00,13
41,20-30-00,10
42,21-00-00,8
43,21-30-00,15
44,22-00-00,11
45,22-30-00,23
46,23-00-00,11
47,23-30-00,2
