,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,2
12,06-00-00,0
13,06-30-00,3
14,07-00-00,4
15,07-30-00,2
16,08-00-00,8
17,08-30-00,13
18,09-00-00,6
19,09-30-00,7
20,10-00-00,2
21,10-30-00,0
22,11-00-00,2
23,11-30-00,7
24,12-00-00,1
25,12-30-00,5
26,13-00-00,11
27,13-30-00,5
28,14-00-00,3
29,14-30-00,3
30,15-00-00,2
31,15-30-00,3
32,16-00-00,0
33,16-30-00,10
34,17-00-00,8
35,17-30-00,6
36,18-00-00,17
37,18-30-00,8
38,19-00-00,5
39,19-30-00,13
40,20-00-00,1
41,20-30-00,5
42,21-00-00,12
43,21-30-00,6
44,22-00-00,4
45,22-30-00,1
46,23-00-00,0
47,23-30-00,3
