,time,value
0,00-00-00,2
1,00-30-00,1
2,01-00-00,1
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,0
13,06-30-00,0
14,07-00-00,4
15,07-30-00,8
16,08-00-00,23
17,08-30-00,40
18,09-00-00,15
19,09-30-00,11
20,10-00-00,9
21,10-30-00,8
22,11-00-00,10
23,11-30-00,22
24,12-00-00,33
25,12-30-00,23
26,13-00-00,8
27,13-30-00,11
28,14-00-00,20
29,14-30-00,25
30,15-00-00,40
31,15-30-00,12
32,16-00-00,23
33,16-30-00,18
34,17-00-00,60
35,17-30-00,46
36,18-00-00,61
37,18-30-00,47
38,19-00-00,33
39,19-30-00,15
40,20-00-00,12
41,20-30-00,9
42,21-00-00,38
43,21-30-00,12
44,22-00-00,7
45,22-30-00,0
46,23-00-00,10
47,23-30-00,1
