,time,value
0,00-00-00,10
1,00-30-00,4
2,01-00-00,1
3,01-30-00,0
4,02-00-00,0
5,02-30-00,3
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,0
15,07-30-00,2
16,08-00-00,5
17,08-30-00,10
18,09-00-00,10
19,09-30-00,5
20,10-00-00,5
21,10-30-00,19
22,11-00-00,9
23,11-30-00,15
24,12-00-00,9
25,12-30-00,9
26,13-00-00,9
27,13-30-00,16
28,14-00-00,19
29,14-30-00,8
30,15-00-00,8
31,15-30-00,8
32,16-00-00,5
33,16-30-00,12
34,17-00-00,11
35,17-30-00,8
36,18-00-00,20
37,18-30-00,11
38,19-00-00,28
39,19-30-00,7
40,20-00-00,15
41,20-30-00,12
42,21-00-00,16
43,21-30-00,9
44,22-00-00,18
45,22-30-00,18
46,23-00-00,10
47,23-30-00,7
