,time,value
0,00-00-00,1
1,00-30-00,1
2,01-00-00,3
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,2
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,0
15,07-30-00,2
16,08-00-00,4
17,08-30-00,10
18,09-00-00,13
19,09-30-00,14
20,10-00-00,16
21,10-30-00,10
22,11-00-00,17
23,11-30-00,21
24,12-00-00,21
25,12-30-00,39
26,13-00-00,26
27,13-30-00,18
28,14-00-00,16
29,14-30-00,11
30,15-00-00,10
31,15-30-00,27
32,16-00-00,17
33,16-30-00,19
34,17-00-00,20
35,17-30-00,36
36,18-00-00,26
37,18-30-00,30
38,19-00-00,34
39,19-30-00,6
40,20-00-00,13
41,20-30-00,21
42,21-00-00,13
43,21-30-00,1
44,22-00-00,20
45,22-30-00,6
46,23-00-00,6
47,23-30-00,4
